city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg
Beijing,20181201,10.5,81.5,1.9533333333333331,201.79166666666663,129.16666666666666,30.0,167.625
Changchun,20181201,16.625,28.541666666666668,0.63875,42.708333333333336,22.625,45.0,42.583333333333336
Changsha,20181201,8.75,49.083333333333336,1.5854166666666665,277.0,271.125,59.0,321.125
Chengdu,20181201,7.083333333333333,52.375,1.12125,97.41666666666669,62.125,21.0,85.45833333333333
Chongqing,20181201,8.458333333333334,46.875,1.0120833333333332,68.70833333333333,42.708333333333336,23.0,61.16666666666666
Fuzhou,20181201,6.833333333333333,34.666666666666664,0.5741666666666666,70.79166666666667,27.20833333333333,81.0,60.708333333333336
Guangzhou,20181201,10.541666666666666,82.04166666666667,0.935,96.25,67.125,67.0,90.20833333333331
Guiyang,20181201,17.166666666666668,28.791666666666668,0.6454166666666666,66.5,42.208333333333336,52.0,61.54166666666666
Haikou,20181201,4.625,9.791666666666666,0.5070833333333333,37.333333333333336,14.791666666666666,62.0,37.333333333333336
Hangzhou,20181201,13.041666666666666,86.5,1.2866666666666666,194.20833333333331,105.04166666666669,50.0,137.625
Harbin,20181201,22.625,29.20833333333333,0.6645833333333334,53.66666666666666,29.916666666666668,44.0,50.875
Hefei,20181201,5.75,53.25,1.44625,199.0,178.33333333333334,44.0,225.20833333333331
Hohhot,20181201,35.75,66.875,1.909166666666667,142.125,71.91666666666667,28.0,100.75
Jinan,20181201,21.041666666666668,88.83333333333333,2.435,383.0,206.95833333333331,33.0,260.75
Kunming,20181201,12.791666666666666,35.583333333333336,0.7366666666666667,46.5,25.25,67.0,44.54166666666666
Lanzhou,20181201,40.958333333333336,100.91666666666669,2.564583333333333,161.41666666666666,74.95833333333333,42.0,110.58333333333331
Lhasa,20181201,4.875,26.541666666666668,0.6654166666666667,42.625,16.125,77.0,41.083333333333336
Nanchang,20181201,9.916666666666666,52.875,1.8229166666666667,163.66666666666666,105.29166666666669,89.0,138.95833333333334
Nanjing,20181201,10.166666666666666,61.958333333333336,1.1025,187.95833333333331,114.66666666666669,40.0,149.0
Nanning,20181201,6.666666666666667,43.125,1.18375,77.29166666666667,58.04166666666666,23.0,79.0
Shanghai,20181201,6.916666666666667,58.958333333333336,0.49125,67.25,29.20833333333333,74.0,58.41666666666666
Shenyang,20181201,24.95833333333333,39.79166666666666,0.8383333333333334,72.83333333333333,34.291666666666664,37.0,62.5
Shijiazhuang,20181201,18.041666666666668,83.375,2.5079166666666666,352.875,177.66666666666666,10.0,227.95833333333331
Taiyuan,20181201,44.333333333333336,83.125,1.7299999999999998,238.875,110.5,16.0,153.875
Tianjin,20181201,21.625,86.54166666666667,2.155,201.54166666666663,116.75,21.0,153.0
Urumqi,20181201,7.041666666666667,27.416666666666668,0.8458333333333333,1917.875,216.70833333333331,44.0,393.625
Wuhan,20181201,11.291666666666666,56.583333333333336,2.137916666666667,184.95833333333331,159.20833333333334,26.0,208.375
Xi'an,20181201,21.125,87.70833333333333,2.17625,317.9583333333333,199.70833333333331,21.0,247.54166666666663
Xining,20181201,25.70833333333333,60.66666666666666,2.535,103.625,65.54166666666667,56.0,92.08333333333331
Yinchuan,20181201,33.708333333333336,66.95833333333333,2.3208333333333333,134.66666666666666,67.04166666666667,48.0,96.29166666666669
Zhengzhou,20181201,15.458333333333334,62.41666666666666,1.9470833333333333,349.3333333333333,203.41666666666663,16.0,253.41666666666663
Beijing,20181202,7.666666666666667,86.25,2.6141666666666667,241.16666666666663,182.66666666666663,16.0,232.66666666666663
Changchun,20181202,14.916666666666666,24.416666666666668,0.6820833333333334,55.083333333333336,33.583333333333336,66.0,53.04166666666666
Changsha,20181202,7.5,53.75,1.742916666666667,,203.29166666666663,29.0,253.29166666666663
Chengdu,20181202,6.208333333333333,40.16666666666666,0.9566666666666668,68.25,48.958333333333336,16.0,68.08333333333333
Chongqing,20181202,10.208333333333334,47.458333333333336,1.0579166666666666,81.54166666666667,53.083333333333336,19.0,72.75
Fuzhou,20181202,6.541666666666667,36.208333333333336,0.5579166666666667,62.5,27.125,76.0,56.458333333333336
Guangzhou,20181202,9.291666666666666,54.875,0.7816666666666667,78.0,52.375,103.0,74.91666666666667
Guiyang,20181202,12.125,23.75,0.4475,52.16666666666666,27.70833333333333,70.0,50.66666666666666
Haikou,20181202,3.6666666666666665,9.333333333333334,0.4854166666666666,38.04166666666666,14.916666666666666,57.0,38.04166666666666
Hangzhou,20181202,10.875,82.04166666666667,1.346666666666667,172.95833333333334,93.58333333333331,13.0,123.45833333333331
Harbin,20181202,18.0,27.875,0.7266666666666667,75.83333333333333,41.29166666666666,61.0,65.08333333333333
Hefei,20181202,5.875,49.25,1.4095833333333332,149.85714285714286,145.29166666666666,42.0,192.125
Hohhot,20181202,28.416666666666668,52.958333333333336,1.4408333333333332,232.08333333333331,74.91666666666667,55.0,160.04166666666666
Jinan,20181202,14.875,74.54166666666667,1.9775,211.54166666666663,145.29166666666666,25.0,190.41666666666663
Kunming,20181202,18.666666666666668,33.0,0.7629166666666666,37.875,19.541666666666668,71.0,37.91666666666666
Lanzhou,20181202,20.08333333333333,42.75,0.8370833333333333,456.8333333333333,92.41666666666669,57.0,282.875
Lhasa,20181202,6.208333333333333,24.875,0.6075,48.04166666666666,20.291666666666668,69.0,44.458333333333336
Nanchang,20181202,7.125,57.625,1.94125,134.91666666666666,88.16666666666667,40.0,117.45833333333331
Nanjing,20181202,7.75,59.91666666666666,0.9395833333333332,112.45833333333331,77.70833333333333,14.0,103.54166666666669
